# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 25 Mar 2026 03:01:02 +0100
#
# IP	number of (black)lists
#
93.158.90.71	1
93.158.90.72	1
93.158.90.73	1
93.158.90.74	1
93.158.90.137	1
93.158.90.142	1
93.158.90.143	1
93.158.90.144	1
93.158.90.147	1
93.158.90.151	1
93.158.90.156	1
93.158.90.164	1
93.158.90.166	1
93.158.90.168	1
93.158.213.25	1
93.159.230.28	1
93.159.230.84	1
93.171.91.59	1
93.171.178.215	1
93.174.93.34	1
93.176.31.98	1
93.177.126.187	1
93.178.253.186	1
93.182.173.38	1
93.183.154.59	1
93.185.162.8	1
93.185.162.10	1
93.185.162.12	1
93.185.162.14	1
93.185.162.24	1
93.185.162.26	1
93.185.162.116	1
93.185.162.118	1
93.185.162.126	1
93.185.162.128	1
93.185.162.133	1
93.185.162.136	1
93.185.162.138	1
93.185.162.142	1
93.185.162.147	1
93.185.162.149	1
93.188.41.69	1
94.7.186.55	1
94.19.10.143	1
94.20.183.47	1
94.26.68.6	1
94.26.68.11	1
94.26.68.12	1
94.26.68.23	1
94.26.68.71	1
94.26.68.80	1
94.26.68.81	1
94.26.68.82	1
94.26.68.83	1
94.26.68.84	1
94.26.68.85	1
94.26.68.86	1
94.26.68.87	1
94.26.68.88	1
94.26.68.89	1
94.26.88.9	1
94.26.88.18	1
94.26.88.31	1
94.26.88.32	1
94.26.88.47	1
94.26.88.48	1
94.26.88.49	1
94.26.88.50	1
94.26.88.59	1
94.26.88.61	1
94.26.88.95	1
94.26.88.97	1
94.26.88.100	1
94.26.106.16	1
94.26.106.17	1
94.26.106.81	1
94.26.106.109	1
94.26.106.110	1
94.26.106.113	1
94.26.106.114	1
94.26.106.197	1
94.26.106.204	1
94.26.106.205	1
94.26.106.206	1
94.26.106.209	1
94.26.106.223	1
94.26.106.225	1
94.28.39.38	1
94.30.51.83	1
94.55.228.246	1
94.65.241.236	1
94.66.43.59	1
94.70.136.88	1
94.72.96.10	1
94.72.116.78	1
94.74.108.226	1
94.75.78.171	1
94.100.62.119	1
94.101.184.145	1
94.102.49.24	1
94.102.49.25	1
94.102.49.51	1
94.102.49.82	1
94.102.49.125	1
94.102.49.128	1
94.102.49.144	1
94.102.49.210	1
94.102.55.18	1
94.102.59.142	1
94.102.63.23	1
94.103.188.18	1
94.103.188.107	1
94.125.3.90	1
94.130.110.195	1
94.131.8.36	1
94.136.190.98	1
94.154.32.11	1
94.154.32.16	1
94.154.32.25	1
94.154.32.46	1
94.154.32.54	1
94.154.32.67	1
94.154.32.76	1
94.154.32.89	1
94.154.32.93	1
94.154.32.99	1
94.154.32.111	1
94.154.32.139	1
94.154.32.152	1
94.154.32.179	1
94.154.32.193	1
94.154.32.203	1
94.154.32.228	1
94.154.32.231	1
94.154.32.253	1
94.156.58.167	1
94.156.152.8	1
94.156.152.15	1
94.156.152.20	1
94.156.152.24	1
94.156.152.32	1
94.156.152.48	1
94.156.152.63	1
94.156.152.212	1
94.156.152.226	1
94.156.152.231	1
94.156.152.234	1
94.159.44.234	1
94.159.100.141	1
94.180.229.67	1
94.182.93.20	1
94.182.145.69	1
94.187.17.130	1
94.187.38.44	1
94.187.170.252	1
94.198.40.116	1
94.198.40.124	1
94.201.54.30	1
94.204.253.58	1
94.204.253.203	1
94.205.249.38	1
94.230.135.5	1
94.243.4.24	1
94.243.8.97	1
94.243.11.3	1
94.243.11.8	1
94.243.11.18	1
94.243.11.23	1
94.243.11.38	1
94.243.11.46	1
94.243.11.63	1
94.243.11.73	1
94.243.11.121	1
94.243.11.127	1
94.243.11.158	1
94.243.11.178	1
94.243.11.187	1
94.243.11.215	1
94.243.11.233	1
94.243.12.23	1
94.243.12.34	1
94.243.12.39	1
94.243.12.47	1
94.243.12.54	1
94.243.12.80	1
94.243.12.85	1
94.243.12.87	1
94.243.12.92	1
94.243.12.105	1
94.243.12.106	1
94.243.12.155	1
94.243.12.161	1
94.243.12.180	1
94.243.12.181	1
94.243.12.191	1
94.243.12.192	1
94.243.12.203	1
94.243.12.232	1
94.243.12.236	1
94.243.12.255	1
94.254.244.211	1
95.0.206.189	1
95.9.191.195	1
95.31.242.41	1
95.64.136.246	1
95.64.144.66	1
95.65.92.141	1
95.70.23.212	1
95.70.145.9	1
95.79.34.101	1
95.79.55.223	1
95.80.116.51	1
95.84.146.9	1
95.84.148.21	1
95.85.238.35	1
95.91.236.25	1
95.92.247.25	1
95.95.173.34	1
95.96.107.94	1
95.110.230.40	1
95.111.216.119	1
95.111.227.74	1
95.111.234.66	1
95.111.241.165	1
95.111.251.26	1
95.142.134.253	1
95.155.31.237	1
95.165.81.174	1
95.165.84.171	1
95.173.9.201	1
95.174.98.68	1
95.180.117.144	1
95.203.16.3	1
95.209.141.149	1
95.214.52.170	1
95.214.52.199	1
95.214.52.207	1
95.214.52.209	1
95.214.52.228	1
95.214.53.19	1
95.214.53.91	1
95.214.53.108	1
95.214.53.196	1
95.214.54.25	1
95.214.54.35	1
95.214.54.59	1
95.214.54.147	1
95.214.55.14	1
95.214.55.23	1
95.214.55.47	1
95.214.55.62	1
95.214.55.75	1
95.214.55.77	1
95.214.55.92	1
95.214.55.94	1
95.214.55.186	1
95.214.55.230	1
95.214.55.246	1
95.227.177.249	1
95.231.201.113	1
95.235.240.74	1
95.240.192.149	1
96.0.0.119	1
96.0.73.12	1
96.0.160.144	1
96.19.94.140	1
96.20.228.8	1
96.41.38.202	1
96.51.38.22	1
96.78.175.36	1
96.78.175.42	1
96.126.98.168	1
96.126.104.158	1
96.126.123.12	1
96.236.44.239	1
96.246.224.50	1
97.74.89.71	1
97.93.152.80	1
97.107.131.36	1
97.107.131.57	1
97.107.131.84	1
97.107.131.106	1
97.107.131.221	1
97.107.132.7	1
97.107.132.90	1
97.107.132.106	1
97.107.142.125	1
97.213.107.173	1
98.70.56.197	1
98.80.4.2	1
98.80.4.9	1
98.80.4.14	1
98.80.4.18	1
98.80.4.21	1
98.80.4.23	1
98.80.4.35	1
98.80.4.40	1
98.80.4.42	1
98.80.4.45	1
98.80.4.47	1
98.80.4.52	1
98.80.4.57	1
98.80.4.59	1
98.80.4.62	1
98.80.4.65	1
98.80.4.73	1
98.80.4.74	1
98.80.4.78	1
98.80.4.79	1
98.80.4.82	1
98.80.4.89	1
98.80.4.93	1
98.80.4.103	1
98.80.4.106	1
98.80.4.108	1
98.80.4.110	1
98.80.4.113	1
98.80.4.121	1
98.82.39.241	1
98.82.59.253	1
98.82.63.147	1
98.82.107.102	1
98.83.178.66	1
98.84.60.17	1
98.84.70.201	1
98.84.131.195	1
98.97.134.5	1
98.116.131.112	1
98.159.37.8	1
98.159.37.13	1
98.159.37.14	1
98.159.37.15	1
98.159.37.16	1
98.159.37.18	1
98.159.37.19	1
98.159.37.20	1
98.159.37.21	1
98.159.37.22	1
98.159.37.23	1
98.159.37.31	1
98.159.37.32	1
98.159.37.33	1
98.159.37.35	1
98.159.37.36	1
98.159.37.37	1
98.159.37.38	1
98.159.37.40	1
98.159.37.41	1
98.159.37.42	1
98.159.37.43	1
98.159.37.44	1
98.159.37.69	1
98.159.37.71	1
98.159.37.72	1
98.159.37.73	1
98.159.37.74	1
98.159.37.75	1
98.159.37.76	1
98.159.37.77	1
98.159.37.78	1
98.159.37.79	1
98.159.37.80	1
98.159.37.81	1
98.159.37.82	1
98.159.37.83	1
98.159.37.84	1
98.159.37.85	1
98.159.37.86	1
98.159.37.87	1
98.159.37.88	1
98.159.37.89	1
98.159.37.90	1
98.159.37.91	1
98.159.37.92	1
98.159.37.93	1
98.159.37.94	1
98.159.37.95	1
98.159.37.97	1
98.159.37.98	1
98.159.37.99	1
98.159.37.100	1
98.159.37.102	1
98.159.37.103	1
98.159.37.104	1
98.159.37.105	1
98.159.37.107	1
98.159.37.109	1
98.159.37.110	1
98.159.37.111	1
98.159.37.112	1
98.159.37.113	1
98.159.37.114	1
98.159.37.123	1
98.159.37.128	1
98.159.37.135	1
98.159.37.136	1
98.159.37.137	1
98.159.37.155	1
98.159.37.160	1
98.159.37.161	1
98.159.37.162	1
98.159.37.163	1
98.159.37.167	1
98.159.37.168	1
98.159.37.169	1
98.159.37.170	1
98.159.37.171	1
98.159.37.172	1
98.159.37.173	1
98.159.37.175	1
98.159.37.177	1
98.159.37.178	1
98.159.37.179	1
98.159.37.180	1
98.159.37.181	1
98.159.37.183	1
98.159.37.194	1
98.159.37.198	1
98.159.37.200	1
98.159.37.207	1
98.159.37.208	1
98.159.37.209	1
98.159.37.210	1
98.159.37.211	1
98.159.37.212	1
98.159.37.213	1
98.159.37.214	1
98.159.37.215	1
98.159.37.216	1
98.159.37.217	1
98.159.37.219	1
98.159.37.220	1
98.159.37.221	1
98.159.37.222	1
98.159.37.223	1
98.159.37.224	1
98.159.37.225	1
98.159.37.226	1
98.159.37.227	1
98.159.37.228	1
98.159.37.229	1
98.159.37.230	1
98.159.37.231	1
98.159.37.232	1
98.159.37.233	1
98.159.37.234	1
98.159.37.235	1
98.159.37.236	1
98.159.37.237	1
98.159.37.238	1
98.159.37.239	1
98.159.37.240	1
98.159.37.241	1
98.159.37.242	1
98.159.37.243	1
98.159.37.244	1
98.159.37.245	1
98.159.37.246	1
98.159.37.247	1
98.159.37.248	1
98.159.37.249	1
98.159.37.250	1
98.159.37.251	1
98.159.37.252	1
98.159.37.253	1
98.159.37.254	1
98.159.43.1	1
98.159.43.5	1
98.159.43.6	1
98.159.43.7	1
98.159.43.8	1
98.159.43.9	1
98.159.43.10	1
98.159.43.12	1
98.159.43.16	1
98.159.43.17	1
98.159.43.18	1
98.159.43.19	1
98.159.43.20	1
98.159.43.21	1
98.159.43.23	1
98.159.43.24	1
98.159.43.25	1
98.159.43.27	1
98.159.43.28	1
98.159.43.29	1
98.159.43.31	1
98.159.43.32	1
98.159.43.33	1
98.159.43.34	1
98.159.43.35	1
98.159.43.37	1
98.159.43.38	1
98.159.43.41	1
98.159.43.42	1
98.159.43.44	1
98.159.43.45	1
98.159.43.46	1
98.159.43.47	1
98.159.43.48	1
98.159.43.50	1
98.159.43.51	1
98.159.43.69	1
98.159.43.70	1
98.159.43.84	1
98.159.43.98	1
98.159.43.105	1
98.159.43.106	1
98.159.43.107	1
98.159.43.109	1
98.159.43.114	1
98.159.43.115	1
98.159.43.117	1
98.159.43.120	1
98.159.43.122	1
98.159.43.123	1
98.159.43.132	1
98.159.43.133	1
98.159.43.135	1
98.159.43.136	1
98.159.43.137	1
98.159.43.140	1
98.159.43.142	1
98.159.43.145	1
98.159.43.151	1
98.159.43.155	1
98.159.43.156	1
98.159.43.157	1
98.159.43.158	1
98.159.43.163	1
98.187.20.187	1
98.192.74.183	1
98.222.93.199	1
98.238.227.113	1
99.2.57.164	1
99.68.217.97	1
99.90.232.76	1
99.209.173.182	1
99.225.0.250	1
99.227.129.42	1
99.229.255.162	1
99.240.44.181	1
100.2.219.251	1
100.24.32.162	1
100.28.49.152	1
100.29.63.24	1
100.35.7.246	1
100.38.245.51	1
100.50.235.109	1
101.3.155.28	1
101.32.208.70	1
101.33.66.34	1
101.33.241.223	1
101.36.98.91	1
101.36.107.65	1
101.36.107.103	1
101.36.109.125	1
101.36.110.164	1
101.36.114.209	1
101.36.117.15	1
101.36.117.148	1
101.36.117.207	1
101.36.119.50	1
101.36.119.67	1
101.36.119.218	1
101.36.122.23	1
101.36.123.102	1
101.36.124.80	1
101.36.125.77	1
101.36.126.138	1
101.36.127.189	1
101.42.46.71	1
101.43.12.186	1
101.43.62.35	1
101.44.162.143	1
101.44.201.91	1
101.46.10.205	1
101.47.48.65	1
101.47.48.72	1
101.47.48.137	1
101.47.48.138	1
101.47.48.143	1
101.47.48.147	1
101.47.48.238	1
101.47.48.241	1
101.47.48.243	1
101.47.48.255	1
101.47.49.28	1
101.47.49.50	1
101.47.49.79	1
101.47.49.98	1
101.47.49.107	1
101.47.49.109	1
101.47.49.131	1
101.47.49.132	1
101.47.49.133	1
101.47.49.134	1
101.47.49.140	1
101.47.49.165	1
101.47.49.171	1
101.47.49.177	1
101.47.49.180	1
101.47.49.199	1
101.47.49.205	1
101.47.49.206	1
101.47.49.210	1
101.47.49.217	1
101.47.49.224	1
101.47.49.237	1
101.47.49.255	1
101.47.50.8	1
101.47.50.21	1
101.47.50.42	1
101.47.50.50	1
101.47.50.51	1
101.47.50.52	1
101.47.50.55	1
101.47.50.56	1
101.47.50.59	1
101.47.50.76	1
101.47.50.95	1
101.47.50.102	1
101.47.50.118	1
101.47.50.128	1
101.47.50.159	1
101.47.50.183	1
101.47.50.184	1
101.47.50.203	1
101.47.50.223	1
101.47.50.237	1
101.47.51.5	1
101.47.51.7	1
101.47.51.22	1
101.47.51.24	1
101.47.51.44	1
101.47.51.246	1
101.47.140.25	1
101.47.140.73	1
101.47.140.81	1
101.47.140.82	1
101.47.140.105	1
101.47.140.106	1
101.47.140.123	1
101.47.140.127	1
101.47.140.130	1
101.47.140.137	1
101.47.140.146	1
101.47.140.158	1
101.47.140.162	1
101.47.140.164	1
101.47.140.190	1
101.47.140.212	1
101.47.140.216	1
101.47.140.218	1
101.47.140.222	1
101.47.140.226	1
101.47.140.230	1
101.47.140.243	1
101.47.140.253	1
101.47.140.254	1
101.47.140.255	1
101.47.141.6	1
101.47.141.12	1
101.47.141.25	1
101.47.141.35	1
101.47.141.71	1
101.47.141.103	1
101.47.141.104	1
101.47.141.119	1
101.47.141.125	1
101.47.141.128	1
101.47.141.156	1
101.47.141.162	1
101.47.141.170	1
101.47.141.193	1
101.47.141.214	1
101.47.141.215	1
101.47.141.239	1
101.47.141.246	1
101.47.142.2	1
101.47.142.8	1
101.47.142.10	1
101.47.142.21	1
101.47.142.22	1
101.47.142.27	1
101.47.142.43	1
101.47.142.48	1
101.47.142.49	1
101.47.142.55	1
101.47.142.56	1
101.47.142.65	1
101.47.142.76	1
101.47.142.83	1
101.47.142.98	1
101.47.142.104	1
101.47.142.105	1
101.47.142.111	1
101.47.142.188	1
101.47.142.192	1
101.47.142.202	1
101.47.142.206	1
101.47.142.207	1
101.47.142.210	1
101.47.142.211	1
101.47.142.215	1
101.47.142.220	1
101.47.142.247	1
101.47.143.72	1
101.47.143.80	1
101.47.143.184	1
101.47.143.185	1
101.47.143.192	1
101.47.143.200	1
101.47.143.205	1
101.47.143.252	1
101.47.143.255	1
101.47.159.138	1
101.47.160.3	1
101.47.160.5	1
101.47.160.44	1
101.47.160.45	1
101.47.160.50	1
101.47.160.101	1
101.47.160.109	1
101.47.160.113	1
101.47.160.122	1
101.47.160.125	1
101.47.160.137	1
101.47.160.161	1
101.47.160.165	1
101.47.160.172	1
101.47.160.181	1
101.47.160.186	1
101.47.160.187	1
101.47.160.200	1
101.47.160.204	1
101.47.160.206	1
101.47.160.227	1
101.47.160.230	1
101.47.160.231	1
101.47.160.235	1
101.47.160.237	1
101.47.160.247	1
101.47.160.250	1
101.47.161.0	1
101.47.161.2	1
101.47.161.8	1
101.47.161.11	1
101.47.161.24	1
101.47.161.32	1
101.47.161.41	1
101.47.161.42	1
101.47.161.49	1
101.47.161.56	1
101.47.161.65	1
101.47.161.72	1
101.47.161.75	1
101.47.161.79	1
101.47.161.84	1
101.47.161.85	1
101.47.161.87	1
101.47.161.104	1
101.47.161.109	1
101.47.161.117	1
101.47.161.118	1
101.47.161.128	1
101.47.161.133	1
101.47.161.134	1
101.47.161.135	1
101.47.161.136	1
101.47.161.151	1
101.47.161.158	1
101.47.161.160	1
101.47.161.161	1
101.47.161.202	1
101.47.161.204	1
101.47.161.212	1
101.47.161.217	1
101.47.161.221	1
101.47.161.223	1
101.47.161.226	1
101.47.161.248	1
101.47.161.250	1
101.47.161.255	1
101.47.162.0	1
101.47.162.12	1
101.47.162.19	1
101.47.162.20	1
101.47.162.24	1
101.47.162.25	1
101.47.162.73	1
101.47.162.91	1
101.47.162.94	1
101.47.162.100	1
101.47.162.104	1
101.47.162.116	1
101.47.162.232	1
101.47.162.254	1
101.47.163.3	1
101.47.163.14	1
101.47.163.20	1
101.47.163.44	1
101.47.163.59	1
101.47.163.80	1
101.47.163.81	1
101.47.163.84	1
101.47.163.85	1
101.47.163.88	1
101.47.163.93	1
101.47.163.94	1
101.47.163.102	1
101.47.163.103	1
101.47.163.106	1
101.47.163.114	1
101.47.163.116	1
101.47.163.125	1
101.47.163.137	1
101.47.163.143	1
101.47.163.145	1
101.47.163.148	1
101.47.163.173	1
101.47.163.189	1
101.47.163.205	1
101.47.163.213	1
101.47.163.219	1
101.47.163.221	1
101.47.163.225	1
101.47.163.227	1
101.47.163.234	1
101.47.163.242	1
101.47.163.243	1
101.47.163.249	1
101.47.163.250	1
101.47.163.255	1
101.53.233.3	1
101.53.233.6	1
101.53.233.10	1
101.53.233.34	1
101.53.233.57	1
101.53.233.87	1
101.53.233.120	1
101.53.233.139	1
101.53.233.141	1
101.53.233.153	1
101.53.233.155	1
101.53.233.157	1
101.53.233.162	1
101.53.236.155	1
101.71.37.3	1
101.71.37.5	1
101.71.37.13	1
101.71.37.16	1
101.71.37.17	1
101.71.37.21	1
101.71.37.23	1
101.71.37.24	1
101.71.37.34	1
101.71.37.36	1
101.71.37.39	1
101.71.37.53	1
101.71.37.58	1
101.71.37.60	1
101.71.37.64	1
101.71.37.65	1
101.71.37.66	1
101.71.37.67	1
101.71.37.68	1
101.71.37.69	1
101.71.37.70	1
101.71.37.71	1
101.71.37.72	1
101.71.37.73	1
101.71.37.74	1
101.71.37.75	1
101.71.37.76	1
101.71.37.77	1
101.71.37.78	1
101.71.37.79	1
101.71.37.80	1
101.71.37.81	1
101.71.37.82	1
101.71.37.83	1
101.71.37.84	1
101.71.37.85	1
101.71.37.86	1
101.71.37.87	1
101.71.37.88	1
101.71.37.89	1
101.71.37.90	1
101.71.37.91	1
101.71.37.92	1
101.71.37.93	1
101.71.37.94	1
101.71.37.95	1
101.71.37.96	1
101.71.37.97	1
101.71.37.98	1
101.71.37.99	1
101.71.37.100	1
101.71.37.101	1
101.71.37.102	1
101.71.37.103	1
101.71.37.105	1
101.71.37.106	1
101.71.37.107	1
101.71.37.108	1
101.71.37.109	1
101.71.37.110	1
101.71.37.111	1
101.71.37.192	1
101.71.37.193	1
101.71.37.194	1
101.71.37.196	1
101.71.37.197	1
101.71.37.198	1
101.71.37.200	1
101.71.37.201	1
101.71.37.202	1
101.71.37.203	1
101.71.37.204	1
101.71.37.205	1
101.71.37.206	1
101.71.37.207	1
101.71.37.208	1
101.71.37.209	1
101.71.37.210	1
101.71.37.211	1
101.71.37.212	1
101.71.37.213	1
101.71.37.214	1
101.71.37.215	1
101.71.37.216	1
101.71.37.217	1
101.71.37.218	1
101.71.37.219	1
101.71.37.220	1
101.71.37.221	1
101.71.37.222	1
101.71.37.223	1
101.71.37.228	1
101.71.37.230	1
101.71.37.231	1
101.71.37.238	1
101.71.37.239	1
101.71.39.0	1
101.71.39.1	1
101.71.39.2	1
101.71.39.3	1
101.71.39.4	1
101.71.39.5	1
101.71.39.6	1
101.71.39.7	1
101.71.39.8	1
101.71.39.9	1
101.71.39.10	1
101.71.39.11	1
101.71.39.12	1
101.71.39.13	1
101.71.39.14	1
101.71.39.15	1
101.71.39.16	1
101.71.39.17	1
101.71.39.18	1
101.71.39.19	1
101.71.39.20	1
101.71.39.21	1
101.71.39.22	1
101.71.39.23	1
101.71.39.24	1
101.71.39.25	1
101.71.39.26	1
101.71.39.27	1
101.71.39.28	1
101.71.39.29	1
101.71.39.30	1
101.71.39.31	1
101.71.39.64	1
101.71.39.73	1
101.71.39.79	1
101.71.39.83	1
101.71.39.105	1
101.71.39.118	1
101.71.39.122	1
101.89.113.211	1
101.89.120.185	1
101.89.123.55	1
101.89.146.145	1
101.89.150.67	1
101.89.165.154	1
101.89.217.152	1
101.91.116.201	1
101.91.118.18	1
101.91.121.254	1
101.91.211.175	1
101.100.228.127	1
101.126.54.88	1
101.126.135.154	1
101.128.71.94	1
101.132.180.130	1
101.133.235.172	1
101.165.200.25	1
101.168.62.158	1
101.173.66.112	1
101.198.0.133	1
101.198.0.134	1
101.198.0.135	1
101.198.0.140	1
101.198.0.141	1
101.198.0.142	1
101.198.0.150	1
101.198.0.151	1
101.198.0.152	1
101.198.0.155	1
101.198.0.156	1
101.198.0.157	1
101.198.0.170	1
101.198.0.171	1
101.198.0.172	1
101.198.0.179	1
101.198.0.180	1
101.198.0.181	1
101.198.0.182	1
101.198.0.183	1
101.198.0.184	1
101.198.0.187	1
101.198.0.188	1
101.198.0.189	1
101.199.254.199	1
101.199.254.201	1
101.199.254.202	1
101.199.254.204	1
101.199.254.205	1
101.199.254.209	1
101.199.254.233	1
101.199.254.234	1
101.199.254.235	1
101.199.254.236	1
101.199.254.237	1
101.199.254.239	1
101.200.233.102	1
101.227.237.229	1
101.235.198.2	1
101.235.199.67	1
102.33.36.254	1
102.53.12.221	1
102.67.213.99	1
102.69.167.14	1
102.89.17.238	1
102.129.223.92	1
102.130.192.63	1
102.152.208.139	1
102.164.104.27	1
102.165.48.43	1
102.165.48.46	1
102.165.48.50	1
102.165.48.53	1
102.165.48.54	1
102.165.48.65	1
102.165.48.68	1
102.165.48.73	1
102.165.48.76	1
102.165.48.78	1
102.165.48.95	1
102.165.48.99	1
102.165.48.102	1
102.176.82.190	1
102.208.34.7	1
102.208.164.159	1
102.209.223.78	1
102.212.40.100	1
102.212.42.182	1
102.213.49.86	1
102.214.109.76	1
102.214.109.147	1
102.217.121.130	1
102.219.126.32	1
102.219.155.8	1
102.219.155.27	1
102.220.158.223	1
102.244.97.183	1
103.1.33.188	1
103.1.93.109	1
103.7.41.120	1
103.7.121.32	1
103.7.121.33	1
103.7.247.227	1
103.8.59.250	1
103.8.195.18	1
103.13.206.142	1
103.13.206.152	1
103.13.206.201	1
103.13.206.218	1
103.13.207.55	1
103.13.207.164	1
103.14.32.75	1
103.16.62.83	1
103.17.12.212	1
103.17.214.242	1
103.18.14.11	1
103.18.14.28	1
103.18.14.38	1
103.18.14.40	1
103.18.14.52	1
103.18.14.60	1
103.18.14.75	1
103.18.14.85	1
103.18.14.88	1
103.18.14.96	1
103.18.14.98	1
103.18.14.116	1
103.18.14.121	1
103.18.14.154	1
103.18.14.169	1
103.18.14.174	1
103.18.14.177	1
103.18.14.184	1
103.18.14.186	1
103.18.14.197	1
103.18.14.210	1
103.18.14.227	1
103.18.14.233	1
103.18.14.235	1
103.18.14.249	1
103.18.14.252	1
103.18.14.253	1
103.18.14.254	1
103.19.134.115	1
103.19.254.11	1
103.20.223.11	1
103.21.55.206	1
103.23.198.49	1
103.23.198.128	1
103.23.198.201	1
103.23.199.49	1
103.23.199.154	1
103.26.11.202	1
103.26.82.13	1
103.26.82.19	1
103.26.82.31	1
103.26.82.39	1
103.26.82.45	1
103.26.82.50	1
103.26.82.54	1
103.26.82.62	1
103.26.82.74	1
103.26.82.80	1
103.26.82.99	1
103.26.82.105	1
103.26.82.108	1
103.26.82.112	1
103.26.82.136	1
103.26.82.144	1
103.26.82.152	1
103.26.82.165	1
103.26.82.178	1
103.26.82.188	1
103.26.82.195	1
103.26.82.207	1
103.26.82.220	1
103.26.82.235	1
103.26.82.241	1
103.26.82.242	1
103.26.82.244	1
103.26.82.246	1
103.26.86.39	1
103.26.87.61	1
103.26.225.229	1
103.28.36.99	1
103.28.36.122	1
103.28.36.200	1
103.28.36.205	1
103.28.36.220	1
103.31.39.11	1
103.37.6.88	1
103.37.6.107	1
103.38.236.76	1
103.39.132.40	1
103.39.236.122	1
103.40.200.174	1
103.42.124.95	1
103.42.142.59	1
103.42.159.221	1
103.42.163.220	1
103.42.187.46	1
103.47.100.34	1
103.47.218.38	1
103.48.182.138	1
103.48.183.137	1
103.48.194.217	1
103.49.131.239	1
103.49.238.76	1
103.49.238.126	1
103.49.238.134	1
103.49.238.178	1
103.49.238.225	1
103.49.238.251	1
103.49.239.156	1
103.52.37.34	1
103.52.114.62	1
103.53.231.159	1
103.54.100.206	1
103.55.99.100	1
103.59.94.43	1
103.59.94.77	1
103.59.94.124	1
103.59.94.153	1
103.59.94.155	1
103.59.94.173	1
103.59.94.199	1
103.59.95.12	1
103.59.95.21	1
103.59.95.42	1
103.59.95.58	1
103.59.95.124	1
103.59.95.136	1
103.59.95.144	1
103.59.95.177	1
103.59.95.187	1
103.59.95.240	1
103.59.160.103	1
103.59.160.131	1
103.59.160.135	1
103.59.160.175	1
103.59.160.195	1
103.59.160.206	1
103.59.160.237	1
103.59.160.252	1
103.59.161.130	1
103.59.163.133	1
103.59.163.135	1
103.63.25.111	1
103.63.25.198	1
103.65.236.149	1
103.65.236.153	1
103.65.237.124	1
103.65.237.216	1
103.65.237.227	1
103.65.237.233	1
103.65.237.234	1
103.66.63.1	1
103.66.72.91	1
103.67.78.56	1
103.67.78.102	1
103.67.78.202	1
103.67.78.230	1
103.67.78.251	1
103.68.22.115	1
103.69.88.53	1
103.74.54.116	1
103.74.118.202	1
103.74.169.87	1
103.75.187.25	1
103.76.120.29	1
103.76.120.30	1
103.76.120.51	1
103.76.120.69	1
103.76.120.70	1
103.76.120.87	1
103.76.120.90	1
103.76.120.191	1
103.76.120.206	1
103.76.120.219	1
103.77.106.118	1
103.77.107.57	1
103.77.107.178	1
103.77.107.222	1
103.78.171.114	1
103.78.195.193	1
103.82.21.232	1
103.82.27.53	1
103.82.37.106	1
103.82.39.231	1
103.83.137.10	1
103.83.254.243	1
103.84.191.23	1
103.84.236.222	1
103.84.236.242	1
103.85.75.146	1
103.85.180.229	1
103.86.135.2	1
103.88.32.226	1
103.89.13.166	1
103.93.249.70	1
103.96.140.26	1
103.97.224.197	1
103.99.32.178	1
103.99.32.181	1
103.99.32.185	1
103.99.144.99	1
103.99.196.1	1
103.99.196.2	1
103.99.196.16	1
103.99.196.17	1
103.99.196.18	1
103.99.196.19	1
103.99.197.131	1
103.101.83.5	1
103.101.162.38	1
103.103.43.131	1
103.103.133.92	1
103.105.67.170	1
103.105.172.72	1
103.106.20.169	1
103.106.194.74	1
103.108.7.90	1
103.109.244.119	1
103.110.236.46	1
103.110.237.58	1
103.112.35.20	1
103.112.207.146	1
103.115.108.28	1
103.115.155.126	1
103.115.252.38	1
103.115.252.220	1
103.116.246.121	1
103.117.12.12	1
103.117.148.200	1
103.120.71.99	1
103.120.71.146	1
103.120.112.230	1
103.120.189.68	1
103.120.189.74	1
103.124.92.110	1
103.124.95.161	1
103.124.95.168	1
103.124.153.190	1
103.124.204.198	1
103.125.155.226	1
103.126.151.86	1
103.126.196.183	1
103.131.85.189	1
103.131.85.197	1
103.131.85.207	1
103.131.85.220	1
103.131.85.230	1
103.131.85.235	1
103.132.28.194	1
103.132.221.84	1
103.132.221.85	1
103.132.221.86	1
103.132.221.87	1
103.132.221.117	1
103.132.221.118	1
103.132.223.81	1
103.132.223.82	1
103.132.223.83	1
103.132.223.84	1
103.132.223.85	1
103.132.223.86	1
103.132.223.87	1
103.132.223.90	1
103.132.223.91	1
103.132.223.92	1
103.132.223.95	1
103.134.133.185	1
103.136.43.74	1
103.136.137.73	1
103.137.65.2	1
103.138.68.74	1
103.139.178.177	1
103.139.192.17	1
103.139.192.65	1
103.139.192.90	1
103.139.192.188	1
103.139.193.31	1
103.139.193.37	1
103.139.193.182	1
103.139.193.187	1
103.139.193.223	1
103.143.72.165	1
103.143.238.100	1
103.144.87.87	1
103.144.223.235	1
103.146.11.58	1
103.147.242.68	1
103.148.33.24	1
103.148.89.154	1
103.148.118.211	1
103.148.195.198	1
103.150.65.13	1
103.150.65.60	1
103.150.65.61	1
103.150.65.62	1
103.150.65.63	1
103.150.65.65	1
103.151.140.79	1
103.152.36.150	1
103.152.165.117	1
103.153.182.150	1
103.155.131.89	1
103.156.201.158	1
